Command.discovery.recommendation.desc,Gets you an artist that you have never scrobbled!,
Command.discovery.recommendation.name,recommendation,
Command.discovery.releases.desc,List all of the genres supplied in everynoise.com or find one by name,
Command.discovery.releases.name,releases,
Command.duration.desc,Shows your songs with the most or least length,
Command.duration.name,duration,
Command.favs.desc,Your favourite tracks from an artist,
Command.favs.name,favs,
Command.findalbum.desc,Search artist on your library by name,
Command.findalbum.name,findalbum,
Command.findartist.desc,Search artist on your library by name,
Command.findartist.name,findartist,
Command.findtrack.desc,Search tracks on your library by name,
Command.findtrack.name,findtrack,
Command.fm.desc,Returns your last or current playing song,
Command.fm.name,fm,
Command.friend.add.desc,Sends a friend request to a given user,
Command.friend.add.name,add,
Command.friend.artist.desc,Favourite albums for an artist in your friend list,
Command.friend.artist.name,artist,
Command.friend.chart.desc,Chart compose of all your friends favourite albums,
Command.friend.chart.name,chart,
Command.friend.desc,Manage your friend list and do commands for your full friend list,
Command.friend.favs.desc,Favourite tracks for your friend list,
Command.friend.favs.name,favs,
Command.friend.incoming.desc,Lists all your incoming requests,
Command.friend.incoming.name,incoming,
Command.friend.list.desc,Lists all your friends,
Command.friend.list.name,list,
Command.friend.name,friend,
Command.friend.np.desc,What your friends are playing right now,
Command.friend.np.name,np,
Command.friend.pending.desc,Lists the friend requests you have sent that are yet to be accepted,
Command.friend.pending.name,pending,
Command.friend.remove.desc,Removes the specified friend from your friend list,
Command.friend.remove.name,remove,
Command.friend.top.desc,Chart compose of all your friends favourite artists,
Command.friend.top.name,top,
Command.friend.toptracks.desc,List of top tracks for your friends,
Command.friend.toptracks.name,toptracks,
Command.friend.wk.desc,Who knows an artist in your friend list,
Command.friend.wk.name,wk,
Command.friend.wka.desc,Who knows an album in your friend list,
Command.friend.wka.name,wka,
Command.friend.wkt.desc,Who knows a song in your friend list,
Command.friend.wkt.name,wkt,
Command.from.desc,Your top artist that are from a specific country,
Command.from.name,from,
Command.genres.album-chart.desc,Searches Musicbrainz for albums that match the given tag (Should be coherent with the genre command),
Command.genres.album-chart.name,album-chart,
Command.genres.artist-chart.desc,Searches Musicbrainz for artists that match the given tag (Should be coherent with the genre command),
Command.genres.artist-chart.name,artist-chart,
Command.genres.artist.desc,List all the tags of one artist,
Command.genres.artist.name,artist,
Command.genres.desc,Commands about genres/tags for artists/albums...,
Command.genres.genreinfo.desc,Information about a Genre,
Command.genres.genreinfo.name,genreinfo,
Command.genres.multi-who-knows.desc,Returns a list of all the artist that match multiple tags,
Command.genres.multi-who-knows.name,multi-who-knows,
Command.genres.multiwhois.desc,Returns a list of all artists that have a given tag,
Command.genres.multiwhois.name,multiwhois,
Command.genres.name,genres,
Command.genres.song-chart.desc,Searches Musicbrainz for songs that match the given tag,
Command.genres.song-chart.name,song-chart,
Command.genres.top.desc,Top genres from an user,
Command.genres.top.name,top,
Command.genres.who-knows.desc,Who knows a given tag on the bot,
Command.genres.who-knows.name,who-knows,
Command.genres.whois.desc,Returns a list of all artists that have a given tag,
Command.genres.whois.name,whois,
Command.global.album-rank.desc,An overview of your global ranking of an album,
Command.global.album-rank.name,album-rank,
